"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20210717010839I","17-JUL-21","COLUMBIA","CA","COLUMBIA","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","M","","","GENERAL OPERATING RULES","","73015","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","1627","400","6",""
"20210717010849I","17-JUL-21","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","S35","","","GENERAL OPERATING RULES","","961SF","0","0","CONT M","IO-520-BA","","1","PRIVATE PILOT","816","400","9",""
"20210717010859I","17-JUL-21","IUKA","MS","","INCIDENT","MINOR","DESCENT","","","","","","GENERAL OPERATING RULES","","28DS","0","0","WRIGHT","1820","G102 1","","AIRLINE TRANSPORT","25000","51","5",""
"20210718010869I","18-JUL-21","CAREFREE","AZ","SKY RANCH AT CAREFREE","INCIDENT","MINOR","LANDING: TOUCHDOWN","AVIAT","A1","B","","","GENERAL OPERATING RULES","","161AM","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","4103","415","15",""
"20210718010899I","18-JUL-21","WICHITA","KS","WICHITA MID-CONTINENT","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","525","B","","","GENERAL OPERATING RULES","","179ER","0","0","WILLIA","FJ44-3A","","2","","","","",""
"20210718011189I","18-JUL-21","WHEELING","IL","CHICAGO EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","636CM","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1150","623","164",""
"20210718011199I","18-JUL-21","SMITHVILLE","OH","WAYNE COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","177RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","45677","0","0","LYCOMI","IO-360-A1B6D","","1","PRIVATE PILOT","609","417","5",""
"20210718013299I","18-JUL-21","FLINT","MI","BISHOP INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","210","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","7366E","0","0","CONT M","I0-470 SERIES","","1","COMMERCIAL PILOT","1505","30","9",""
"20210718014899I","18-JUL-21","MACON","GA","MIDDLE GEORGIA RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","40JB","0","0","CONT M","IO 520 SERIES","","2","COMMERCIAL PILOT","2400","","",""
"20210719006389I","19-JUL-21","PUNTA GORDA","FL","PUNTA GORDA","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","650","NO SERIES EXISTS","AIR TREK INC","","GENERAL OPERATING RULES","","644AT","0","0","GARRET","TFE731 SERIES","","2","AIRLINE TRANSPORT","","","",""
"20210719006939I","19-JUL-21","OCEAN CITY","NJ","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","J3C","65","","","GENERAL OPERATING RULES","","88610","0","0","LYCOMI","0-320 SERIES","0-320-","","COMMERCIAL PILOT","479","","",""
"20210719008699I","19-JUL-21","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA31","350","AZTEC WORLDWIDE AIRLINES INC","","AIR TAXI/COMMUTER","","4118B","0","0","LYCOMI","TI0-540 SER","TIO540","","","","","",""
"20210719011209I","19-JUL-21","SPRINGFIELD","IL","ABRAHAM LINCOLN CAPITAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","7DY","0","0","LYCOMI","O&VO-360 SER","","","","","","",""
"20210719011219I","19-JUL-21","","VA","SPRINGWOOD AIRSTRIP","INCIDENT","MINOR","LANDING: ROLLOUT","AERONCA","7AC","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","3036E","0","0","CONT M","A&C65 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","16300","10","160",""
"20210720006929I","20-JUL-21","PORTLAND","ME","LONG ISLAND MAC ARTHUR","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA31","350","PREMIER AIR CHARTERS INC","","AIR TAXI/COMMUTER","","4043M","0","0","LYCOMI","TI0-540 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","8350","","",""
"20210720011269I","20-JUL-21","JOPLIN","MO","JOPLIN RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","210WP","0","0","VIKING","110","","","PRIVATE PILOT","130","58","5",""
"20210720011279I","20-JUL-21","ROMEO","MI","ROMEO STATE","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","","","","","","GENERAL OPERATING RULES","","32YX","0","0","AEROVE","2.0","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","7800","","",""
"20210720012869I","20-JUL-21","LANCASTER","OH","FAIRFIELD COUNTY","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA24","250","","","GENERAL OPERATING RULES","","5143P","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","365","36","37",""
"20210720013319I","20-JUL-21","ERIE","PA","ERIE INTL/TOM RIDGE FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28RT","201","","","GENERAL OPERATING RULES","","2911P","0","0","LYCOMI","I0360 SER A&C","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","5807","97","12",""
"20210721008759I","21-JUL-21","BIG ROCK","IL","AURORA MUNI","INCIDENT","NONE","MANEUVER","AIR TRACTOR","AT802","A","NORTH DELTA AG AVIATION LLC","","AGRICULTURAL","","802TL","0","0","P&W CA","PT6A-65AG","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1115","300","300",""
"20210721011289I","21-JUL-21","WEST JORDAN","UT","SOUTH VALLEY RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","N","","","GENERAL OPERATING RULES","","75776","0","0","LYCOMI","0-320-A1A","320","1","STUDENT","49","40","49",""
"20210721011299I","21-JUL-21","CAMARILLO","CA","CAMARILLO","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","140","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","72979","0","0","CONT M","C85 SERIES","","1","PRIVATE PILOT","306","12","17",""
"20210721011329I","21-JUL-21","BIRMINGHAM","AL","BIRMINGHAM-SHUTTLESWORTH INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BEECH","58","G58","","","GENERAL OPERATING RULES","","728HS","0","0","CONT M","IO-550-C","IO-550","","COMMERCIAL PILOT","386","","",""
"20210721014919I","21-JUL-21","ADDISON","TX","ADDISON","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","180","","","GENERAL OPERATING RULES","","4746L","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","150","17","13",""
"20210721016089I","21-JUL-21","PENDLETON","OR","EASTERN OREGON RGNL AT PENDLETON","INCIDENT","SUBSTANTIAL","OTHER-SPECIFY","","","","","","GENERAL OPERATING RULES","","139PA","0","0","AMA/EX","UNKNOWN ENG","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20210722008669I","22-JUL-21","WACO","TX","WACO RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CZECH SPORT","SPORTCRUISER","NO SERIES EXISTS","","","PILOT SCHOOLS","","489SC","0","0","ROTAX","912ULS SERIES","","1","PRIVATE PILOT","165","114","50",""
"20210722011359I","22-JUL-21","SALINA","KS","SALINA RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","55","95B55","","","GENERAL OPERATING RULES","","66SR","0","0","CONT M","I0-470 SERIES","","","AIRLINE TRANSPORT","12500","","",""
"20210722014929I","22-JUL-21","SELKIRK","NY","SOUTH ALBANY","INCIDENT","MINOR","OTHER-SPECIFY","PIPER","J3L","65","","","GENERAL OPERATING RULES","","38159","0","0","LYCOMI","0-145B SERIES","","","STUDENT","84","60","",""
"20210723005969I","23-JUL-21","CRYSTAL SPRINGS","MS","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BOEING","787","9","KLM ROYAL DUTCH AIRLINES","","FOREIGN AIR CARRIER","","NONE","0","0","","","","","","","","",""
"20210723006999I","23-JUL-21","DALLAS","TX","DALLAS LOVE FIELD","INCIDENT","NONE","CLIMB","LEARJET","45","NO SERIES EXISTS","OMNI AIR TRANSPORT LLC","","AIR TAXI/COMMUTER","","340SR","0","0","","","","1","","","","",""
"20210723011399I","23-JUL-21","FRANKLIN","PA","VENANGO RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","AVIAT","A1","C180","","","GENERAL OPERATING RULES","","252Y","0","0","LYCOMI","O-360-A1P","","","PRIVATE PILOT","335","48","48",""
"20210723013329I","23-JUL-21","ARBOR VITAE","WI","LAKELAND/NOBLE F. LEE MEMORIAL FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","BELLANCA","1730","A","","","GENERAL OPERATING RULES","","39893","0","0","CONT M","IO 520 SERIES","","","","","","",""
"20210723013339I","23-JUL-21","OSHKOSH","WI","WITTMAN RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","STEARMAN","A75","N1","","","GENERAL OPERATING RULES","","61603","0","0","CONT M","W670 SERIES","","","PRIVATE PILOT","3470","115","220",""
"20210724011659I","24-JUL-21","BUCKEYE","AZ","PIERCE","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","","","","","","GENERAL OPERATING RULES","","8232B","0","0","CONT M","O-200","N/A","","PRIVATE PILOT","423","","",""
"20210724011669I","24-JUL-21","HUNTSVILLE","TX","HUNTSVILLE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","180","","","GENERAL OPERATING RULES","","4996J","0","0","LYCOMI","I0360 SER","","","PRIVATE PILOT","330","250","75",""
"20210724011729I","24-JUL-21","EMMETT","ID","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","170","B","","","GENERAL OPERATING RULES","","39998","0","0","LYCOMI","0-360-A1A","L-311-","1","","","","",""
"20210724011739I","24-JUL-21","MONROE","LA","MONROE RGNL","INCIDENT","MINOR","MANEUVER","PIPER","PA12","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2964M","0","0","LYCOMI","0-235 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","14800","","",""
"20210724011759I","24-JUL-21","","NC","LONG ISLAND","INCIDENT","MINOR","LANDING: TOUCHDOWN","MITSUBISHI","MU2B","60","","","GENERAL OPERATING RULES","","350RG","0","0","","","","","PRIVATE PILOT","3211","1122","43",""
"20210724011769I","24-JUL-21","CLIO","AL","","INCIDENT","MINOR","CLIMB","PIPER","PA28","161","","","GENERAL OPERATING RULES","","8376L","0","0","LYCOMI","0-320 SERIES","N/A","","COMMERCIAL PILOT","290","","",""
"20210724012839I","24-JUL-21","PLEASANTON","TX","PLEASANTON MUNI","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","66HU","0","0","","","","","PRIVATE PILOT","","","",""
"20210725011799I","25-JUL-21","OSHKOSH","WI","WITTMAN RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","7363P","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","465","","",""
"20210725011809I","25-JUL-21","HOLT","FL","","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","AERONCA","7CCM","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","94CM","0","0","CONT M","C90 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","","","",""
"20210725011819I","25-JUL-21","CONROE","TX","LONE STAR EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","36671","0","0","LYCOMI","0-235 SERIES","","","","","","",""
"20210725014939I","25-JUL-21","PEACHTREE CITY","GA","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA22","108","","","GENERAL OPERATING RULES","","5658Z","0","0","LYCOMI","0-290 SERIES","N/A","","","1063","","",""
"20210725016049I","25-JUL-21","MERRITT ISLAND","FL","MERRITT ISLAND","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA34","200T","BUZZ AIR INC","","GENERAL OPERATING RULES","","109WE","0","0","CONT M","TSIO-360-EB","","","COMMERCIAL PILOT","250","","",""
"20210726006979I","26-JUL-21","GAINESVILLE","FL","GAINESVILLE RGNL","INCIDENT","NONE","TAXI","CESSNA","550","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","177RJ","0","0","P&W CA","JT15D-4","","2","COMMERCIAL PILOT","15770","760","26",""
"20210726011969I","26-JUL-21","SAINT GEORGE","UT","ST GEORGE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","201T","","","GENERAL OPERATING RULES","","47445","0","0","CONT M","TSIO-360 SER","","","PRIVATE PILOT","1255","","",""
"20210726011979I","26-JUL-21","BILLINGS","MT","BILLINGS LOGAN INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","402","C","HYANNIS AIR SERVICE INC","","AIR TAXI/COMMUTER","","890CA","0","0","","","","2","AIRLINE TRANSPORT","3398","2889","255",""
"20210726014769I","26-JUL-21","OSHKOSH","WI","WITTMAN RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","622SC","0","0","YAMAHA","ALL MDLS A/B","","","PRIVATE PILOT","5000","450","60",""
"20210727011989I","27-JUL-21","PORT LAVACA","TX","CALHOUN COUNTY","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","150","L","","","GENERAL OPERATING RULES","","6951G","0","0","CONT M","0-200","A","1","PRIVATE PILOT","171","165","",""
"20210727016099I","27-JUL-21","PENDLETON","OR","EASTERN OREGON RGNL AT PENDLETON","INCIDENT","SUBSTANTIAL","OTHER-SPECIFY","","","","","","GENERAL OPERATING RULES","","138PA","0","0","AMA/EX","UNKNOWN ENG","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20210728012069I","28-JUL-21","KELLOGG","ID","SHOSHONE COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","T210","M","","","GENERAL OPERATING RULES","","761WH","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","1237","536","23",""
"20210729012109I","29-JUL-21","PALO ALTO","CA","PALO ALTO ARPT OF SANTA CLARA CO","INCIDENT","MINOR","TAXI","CESSNA","177","A","","","GENERAL OPERATING RULES","","30304","0","0","LYCOMI","O&VO-360 SER","","1","COMMERCIAL PILOT","1440","929","15",""
"20210729014269I","29-JUL-21","LONGVIEW","TX","EAST TEXAS RGNL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","6250W","0","0","LYCOMI","0-320 SERIES","N/A","","PRIVATE PILOT FLIGHT INSTRUCTOR","513","125","37",""
"20210730011479I","30-JUL-21","SEATTLE","WA","SEATTLE-TACOMA INTL","INCIDENT","NONE","TAKEOFF: DEPARTURE","AIRBUS","A350","UNDESIGNATED SERIES","ASIANA AIRLINES INC","","FOREIGN AIR CARRIER","","HL807","0","0","","","","","","","","",""
"20210730012119I","30-JUL-21","PRINEVILLE","OR","PRINEVILLE","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA12","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","3484M","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT FLIGHT INSTRUCTOR","1046","176","134",""
"20210731006959I","31-JUL-21","DEER PARK","WA","DEER PARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","AIR TRACTOR","AT802","A","AIR SPRAY U.S.A. INC.","","AGRICULTURAL","","398AS","0","0","P&W CA","PT6A-67F","","","AIRLINE TRANSPORT","10421","288","76",""
"20210801012299I","01-AUG-21","TALKEETNA","AK","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","REPUBLIC","RC3","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","82283","0","0","LYCOMI","GO-480","NA","","PRIVATE PILOT","2000","400","",""
"20210801012309I","01-AUG-21","BIG ROCK","IL","","INCIDENT","NONE","MANEUVER","AIR TRACTOR","AT802","A","NORTH DELTA AG AVIATION LLC","","AGRICULTURAL","","802TL","0","0","P&W CA","PT6A-65AG","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6069","1115","300",""
"20210801012319I","01-AUG-21","FOND DU LAC","WI","FOND DU LAC COUNTY","INCIDENT","MINOR","GROUND-RAMP","","","","","","GENERAL OPERATING RULES","","82GA","0","0","WRIGHT","R-1820 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","13340","77","175",""
"20210802012329I","02-AUG-21","FULLERTON","CA","FULLERTON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","S35","","","GENERAL OPERATING RULES","","6115V","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","","","",""
"20210802012359I","02-AUG-21","","NV","HENDERSON EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","235","","","GENERAL OPERATING RULES","","9394W","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","","","",""
"20210802016109I","02-AUG-21","PENDLETON","OR","EASTERN OREGON RGNL AT PENDLETON","INCIDENT","SUBSTANTIAL","OTHER-SPECIFY","","","","","","AIR TAXI/COMMUTER","","592PA","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT","900","","",""
"20210803012389I","03-AUG-21","OSHKOSH","WI","WITTMAN RGNL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","323HG","0","0","LYCOMI","IO-320-D1B","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6300","3","10",""
"20210803012399I","03-AUG-21","BETHANY","OK","WILEY POST","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA32R","301T","","","GENERAL OPERATING RULES","","232TS","0","0","","","","","PRIVATE PILOT","409","","",""
"20210804006789I","04-AUG-21","GOODNEWS","AK","GOODNEWS","INCIDENT","MINOR","LANDING: ROLLOUT","DOUGLAS","DC3","UNDESIGNATED SERIES","TRANSNORTHERN LLC","","AIR TAXI/COMMUTER","","30TN","0","0","","","","2","COMMERCIAL PILOT","12200","66","66",""
"20210804014959I","04-AUG-21","WILLIAMSON","GA","PEACH STATE","INCIDENT","MINOR","LANDING: ROLLOUT","CHAMPION","7FC","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9899B","0","0","CONT M","C90 SERIES","-12","1","","520","","",""
"20210805013409I","05-AUG-21","ALTON","IL","ST LOUIS RGNL","INCIDENT","MINOR","GROUND-RAMP","","","","","","GENERAL OPERATING RULES","","665P","0","0","","","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","9356","97","43",""
"20210805013419I","05-AUG-21","ZANESVILLE","OH","PARR","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","4524R","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","248","242","22",""
"20210805013429I","05-AUG-21","MORRIS","IL","MORRIS MUNI - JAMES R. WASHBURN FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","150","L","","","GENERAL OPERATING RULES","","11283","0","0","CONT M","0-200 SERIES","","1","STUDENT","55","55","8",""
"20210805015319I","05-AUG-21","SANTA BARBARA","CA","SANTA BARBARA MUNI","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BEECH","95","D95A","","","GENERAL OPERATING RULES","","5467U","0","0","LYCOMI","I0360 SER","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4672","92","154",""
"20210806016719I","06-AUG-21","TORRANCE","CA","ZAMPERINI FIELD","INCIDENT","NONE","TAKEOFF: CLIMB OUT","CESSNA","421","B","","","GENERAL OPERATING RULES","","110DH","0","0","CONT M","GTSIO-520-H","H","2","COMMERCIAL PILOT","4000","100","",""
"20210806018799I","06-AUG-21","FAIRMONT","NE","FAIRMONT STATE AIRFIELD","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","352TD","0","0","AUDI","TDI","","","COMMERCIAL PILOT","466","","",""
"20210807013509I","07-AUG-21","PRESCOTT","AZ","ERNEST A. LOVE FIELD","INCIDENT","MINOR","TAKEOFF: DEPARTURE","ROBINSON","R44","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","544SH","0","0","LYCOMI","IO-540 SER","","","PRIVATE PILOT","970","965","21",""
"20210808008579I","08-AUG-21","LITTLE ROCK","AR","BILL AND HILLARY CLINTON NATIONAL/ADAMS FI","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","","","","","","","","107","0","0","","","","","","","","",""
"20210808013519I","08-AUG-21","TORRANCE","CA","","INCIDENT","MINOR","OTHER-SPECIFY","CESSNA","172","N","","","","","75536","0","0","LYCOMI","0-320 SERIES","O-320-","1","","514","","",""
"20210808013529I","08-AUG-21","CONCORD","NC","CONCORD RGNL","INCIDENT","SUBSTANTIAL","CRUISE-LEVEL FLIGHT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","5511F","0","0","","","","","PRIVATE PILOT","335","","",""
"20210808013539I","08-AUG-21","WINTER HAVEN","FL","","INCIDENT","MINOR","OTHER-SPECIFY","","","","","","GENERAL OPERATING RULES","","905JS","0","0","ROTAX","912S","","","","406","250","30",""
"20210808014979I","08-AUG-21","SAVANNAH","GA","SAVANNAH/HILTON HEAD INTL","INCIDENT","MINOR","GROUND-RAMP","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","235SM","0","0","CONT M","IO 520 SERIES","","2","PRIVATE PILOT FLIGHT INSTRUCTOR","","","",""
"20210808019379I","08-AUG-21","ARLINGTON","WA","ARLINGTON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","252XM","0","0","CONT M","TSIO-360 SER","","1","PRIVATE PILOT","272","85","64",""
"20210809013559I","09-AUG-21","JUPITER","FL","NORTH PALM BEACH COUNTY GENERAL AVIATION","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA18","150","","","GENERAL OPERATING RULES","","7483L","0","0","LYCOMI","0-320 SERIES","","","","","","",""
"20210809013609I","09-AUG-21","MERIDIANVILLE","AL","MADISON COUNTY EXECUTIVE/TOM SHARP JR FLD","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","310","L","","","GENERAL OPERATING RULES","","3274X","0","0","CONT M","I0-470 SERIES","","2","COMMERCIAL PILOT","6000","","",""
"20210809013659I","09-AUG-21","FORT WORTH","TX","FORT WORTH MEACHAM INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA28","161","","","PILOT SCHOOLS","","8137U","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT FLIGHT INSTRUCTOR","1000","613","209",""
"20210810006899I","10-AUG-21","FORT WORTH","TX","FORT WORTH MEACHAM INTL","INCIDENT","MINOR","DESCENT","CESSNA","560","XL","JET LINX AVIATION LLC","","AIR TAXI/COMMUTER","","817BZ","0","0","P&W CA","PW545B","","2","AIRLINE TRANSPORT","10377","625","133",""
"20210810013129I","10-AUG-21","IMPERIAL BEACH","CA","IMPERIAL BEACH NOLF (REAM FLD)","INCIDENT","SUBSTANTIAL","CRUISE-LEVEL FLIGHT","CESSNA","206","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","5058U","0","0","CONT M","IO550F20B","103447","","PRIVATE PILOT","","","",""
"20210810013639I","10-AUG-21","HAILEY","ID","FRIEDMAN MEMORIAL","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","NONE","0","0","","","","","AIRLINE TRANSPORT","9400","","",""
"20210810013779I","10-AUG-21","ALTUS","AR","OZARK-FRANKLIN COUNTY","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA28","181","","","GENERAL OPERATING RULES","","2886X","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4177","109","36",""
"20210810014219I","10-AUG-21","LOMPOC","CA","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","172","K","","","GENERAL OPERATING RULES","","79203","0","0","LYCOMI","0-320 SERIES","0-320","1","PRIVATE PILOT FLIGHT INSTRUCTOR","2033","","",""
"20210811014229I","11-AUG-21","OWASSO","OK","","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA23","160","","","GENERAL OPERATING RULES","","4394P","0","0","LYCOMI","0-320 SERIES","UNKNOW","","AIRLINE TRANSPORT","6000","","",""
"20210811014239I","11-AUG-21","NORWOOD","MA","NORWOOD MEMORIAL","INCIDENT","MINOR","GROUND-RAMP","CESSNA","337","G","","","GENERAL OPERATING RULES","","122WB","0","0","CONT M","IO-360 SER","","2","PRIVATE PILOT","800","400","10",""
"20210811014989I","11-AUG-21","DIXIE","GA","QUITMAN BROOKS COUNTY","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","35","S35","","","GENERAL OPERATING RULES","","217Q","0","0","CONT M","IO 520 SERIES","N/A","1","","","","",""
"20210812006819I","12-AUG-21","KING SALMON","AK","KING SALMON","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","1900","C","ALASKA CENTRAL EXPRESS INC","","AIR TAXI/COMMUTER","","247AX","0","0","P&W CA","PT6A-65B","65B","2","AIRLINE TRANSPORT","","5524","",""
"20210812010429I","12-AUG-21","MAGNOLIA","AR","MAGNOLIA MUNI","INCIDENT","NONE","UNKNOWN","","","","","","","","UAS","0","0","","","","","","","","",""
"20210812011529I","12-AUG-21","UNION","SC","UNION COUNTY, TROY SHELTON FIELD","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","36","A36","EXECUTIVE HELIJET CHARTERS LLC","","AIR TAXI/COMMUTER","","183VB","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","1580","","",""
"20210812013719I","12-AUG-21","WALLA WALLA","WA","WALLA WALLA RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","M","","","GENERAL OPERATING RULES","","555SM","0","0","LYCOMI","0-320 SERIES","","1","STUDENT","51","51","51",""
"20210812014289I","12-AUG-21","ASHEVILLE","NC","ASHEVILLE RGNL","INCIDENT","MINOR","TAXI","","","","","","GENERAL OPERATING RULES","","27EL","0","0","AMA/EX","","","","PRIVATE PILOT","2600","","",""
"20210813004339I","13-AUG-21","BOISE","ID","BOISE AIR TERMINAL/GOWEN FLD","INCIDENT","MINOR","CLIMB","ROBINSON","R44","UNDESIGNATED SERIES","SILVERHAWK AVIATION ACADEMY LLC","","PILOT SCHOOLS","","844DT","0","0","LYCOMI","0-540 SERIES","","1","","","","",""
